0.46,-0.88,9.65,7161.00
0.43,-0.89,9.66,7167.00
0.41,-0.90,9.66,7172.00
0.37,-0.88,9.65,7178.00
0.38,-0.82,9.66,7184.00
0.37,-0.78,9.66,7189.00
0.38,-0.73,9.63,7195.00
0.40,-0.71,9.66,7200.00
0.39,-0.67,9.64,7206.00
0.41,-0.66,9.62,7212.00
0.41,-0.63,9.61,7217.00
0.37,-0.66,9.57,7222.00
0.37,-0.75,9.65,7227.00
0.32,-0.70,9.68,7233.00
0.30,-0.69,9.67,7238.00
0.37,-0.74,9.72,7243.00
0.41,-0.64,9.76,7249.00
0.36,-0.67,9.73,7254.00
0.41,-0.56,9.77,7259.00
0.43,-0.54,9.74,7264.00
0.48,-0.49,9.74,7269.00
0.52,-0.52,9.71,7274.00
0.51,-0.57,9.64,7280.00
0.54,-0.59,9.68,7285.00
0.47,-0.65,9.67,7290.00
0.43,-0.59,9.70,7295.00
0.44,-0.65,9.65,7300.00
0.43,-0.66,9.63,7305.00
0.49,-0.69,9.66,7310.00
0.53,-0.71,9.67,7315.00
0.52,-0.74,9.64,7320.00
0.55,-0.72,9.64,7325.00
0.52,-0.80,9.60,7331.00
0.52,-0.90,9.60,7336.00
0.54,-0.99,9.63,7341.00
0.54,-1.00,9.57,7346.00
0.51,-1.04,9.57,7351.00
0.48,-1.11,9.56,7357.00
0.48,-1.12,9.53,7362.00
0.44,-1.21,9.57,7367.00
0.43,-1.21,9.60,7372.00
0.42,-1.22,9.60,7378.00
0.40,-1.23,9.62,7383.00
0.43,-1.21,9.63,7388.00
0.41,-1.25,9.60,7393.00
0.40,-1.23,9.59,7398.00
0.38,-1.28,9.58,7403.00
0.37,-1.26,9.61,7408.00
0.35,-1.25,9.59,7414.00
0.33,-1.24,9.59,7419.00
0.32,-1.21,9.60,7424.00
0.31,-1.18,9.59,7429.00
0.31,-1.15,9.59,7434.00
0.32,-1.11,9.59,7440.00
0.35,-1.05,9.61,7445.00
0.37,-0.99,9.62,7450.00
0.40,-0.93,9.64,7455.00
0.42,-0.91,9.65,7460.00
0.42,-0.87,9.65,7466.00
0.45,-0.81,9.67,7471.00
0.47,-0.79,9.68,7476.00
0.48,-0.76,9.67,7481.00
0.48,-0.73,9.67,7486.00
0.47,-0.70,9.69,7491.00
0.47,-0.69,9.70,7497.00
0.46,-0.67,9.69,7502.00
0.47,-0.64,9.69,7507.00
0.45,-0.64,9.68,7512.00
0.44,-0.62,9.66,7517.00
0.45,-0.59,9.66,7522.00
0.46,-0.54,9.67,7528.00
0.47,-0.52,9.66,7533.00
0.49,-0.48,9.65,7538.00
0.48,-0.48,9.66,7543.00
0.47,-0.45,9.64,7548.00
0.49,-0.44,9.69,7553.00
0.47,-0.42,9.68,7558.00
0.44,-0.42,9.68,7564.00
0.42,-0.36,9.68,7569.00
0.40,-0.36,9.66,7574.00
0.40,-0.35,9.63,7579.00
0.48,-0.34,9.69,7584.00
0.46,-0.18,9.65,7589.00
0.47,-0.15,9.69,7595.00
0.46,-0.12,9.68,7600.00
0.46,-0.14,9.68,7605.00
0.50,-0.12,9.69,7610.00
0.50,-0.25,9.67,7615.00
0.54,-0.25,9.74,7620.00
0.50,-0.43,9.68,7625.00
0.49,-0.49,9.72,7630.00
0.45,-0.54,9.70,7635.00
0.44,-0.53,9.66,7641.00
0.46,-0.57,9.66,7646.00
0.43,-0.65,9.64,7651.00
0.42,-0.66,9.61,7656.00
0.44,-0.53,9.62,7661.00
0.45,-0.52,9.61,7666.00
0.48,-0.52,9.60,7671.00
0.49,-0.48,9.63,7677.00
0.48,-0.54,9.62,7682.00
0.54,-0.58,9.65,7689.00
0.58,-0.62,9.64,7695.00
0.53,-0.73,9.64,7700.00
0.54,-0.80,9.64,7706.00
0.48,-0.91,9.65,7711.00
0.43,-0.92,9.68,7716.00
0.37,-0.95,9.68,7723.00
0.31,-0.96,9.66,7730.00
0.31,-0.88,9.67,7735.00
0.34,-0.75,9.68,7741.00
0.33,-0.64,9.64,7747.00
0.34,-0.57,9.65,7753.00
0.36,-0.44,9.65,7760.00
0.36,-0.40,9.65,7766.00
0.36,-0.34,9.67,7772.00
0.36,-0.26,9.68,7779.00
0.44,-0.18,9.73,7785.00
0.39,-0.12,9.70,7791.00
0.43,-0.11,9.74,7796.00
0.48,-0.12,9.72,7801.00
0.48,-0.16,9.71,7808.00
0.48,-0.14,9.71,7814.00
0.51,-0.20,9.71,7820.00
